attendance,internal_marks,assignments,study_hours,backlog_count,stress_level,risk_level
93,100,91,10.7,1,3,0
82,69,91,7.5,4,8,0
59,56,66,4.5,8,6,1
47,39,42,4.5,7,8,2
66,66,68,7.9,3,4,1
27,28,29,1.2,8,9,2
64,52,65,8.4,6,3,1
67,61,53,5.4,5,5,1
63,59,83,7.1,3,8,1
64,47,58,6.7,6,6,1
67,63,44,6.8,7,7,1
66,70,68,7.1,7,5,1
39,57,44,1.8,8,8,2
70,50,69,9.0,6,5,1
38,49,35,4.4,6,4,2
84,76,84,9.0,5,6,0
50,50,59,5.6,7,4,1
73,62,62,7.2,4,3,1
98,82,88,11.3,3,6,0
60,65,71,6.8,5,3,1
29,31,36,4.2,11,8,2
54,46,53,3.2,7,8,1
94,85,93,10.6,6,6,0
62,62,62,6.9,4,7,1
56,66,71,8.4,3,4,1
84,71,83,10.7,2,6,0
54,57,66,8.1,5,9,1
92,97,74,9.6,2,4,0
72,79,54,10.1,4,3,0
39,32,60,3.4,9,8,2
87,85,100,9.8,1,2,0
51,21,40,5.4,7,6,2
76,84,69,6.4,6,5,0
43,60,51,7.6,5,4,1
43,32,31,2.8,12,5,2
63,64,59,5.7,8,4,1
42,69,55,0.5,6,7,2
62,69,54,5.7,7,8,1
58,52,45,5.1,5,7,1
45,49,37,5.7,7,8,2
40,43,48,5.4,10,7,2
38,12,30,2.0,9,7,2
2,4,14,0.5,12,9,2
78,66,78,5.1,5,6,1
45,33,29,5.3,11,7,2
55,37,36,5.5,7,9,2
27,28,21,1.2,9,10,2
78,92,63,11.4,4,3,0
32,54,30,0.5,12,8,2
63,67,76,6.5,4,5,1
29,20,12,2.8,12,10,2
91,100,91,10.3,2,2,0
40,44,46,5.4,5,7,2
53,51,52,7.1,8,5,1
90,92,69,9.7,2,3,0
83,83,85,8.1,2,3,0
22,10,10,1.7,11,10,2
87,91,70,10.9,3,2,0
47,44,62,4.4,6,8,1
94,98,100,11.6,2,1,0
54,45,43,4.7,7,9,2
80,75,84,8.3,1,4,0
56,41,31,4.3,6,8,2
45,43,36,4.8,8,7,2
77,83,88,8.2,4,4,0
55,59,54,5.7,6,7,1
77,76,81,10.5,2,7,0
67,81,65,7.9,4,5,1
29,21,26,0.5,11,10,2
15,8,26,3.1,11,7,2
34,33,33,2.7,10,8,2
70,65,45,5.9,7,7,1
93,70,93,11.3,0,2,0
64,63,51,3.8,7,5,1
90,100,79,10.6,1,1,0
68,59,62,9.3,6,6,1
93,85,81,11.7,0,1,0
68,85,41,7.1,5,5,1
78,92,80,8.6,4,3,0
38,47,29,5.1,6,10,2
50,37,44,3.3,8,6,2
77,67,67,8.4,5,5,1
73,62,69,7.9,3,6,1
78,100,81,11.2,3,2,0
52,46,41,4.5,8,9,2
77,80,86,8.3,5,5,0
18,25,21,2.0,10,10,2
55,67,51,6.2,8,4,1
37,20,19,1.4,9,9,2
65,79,73,7.6,4,4,0
46,36,41,4.2,11,8,2
78,91,76,10.4,1,6,0
61,62,71,6.9,6,6,1
66,69,73,8.3,7,5,1
56,56,48,6.0,5,5,1
73,65,69,6.4,5,4,0
76,68,57,11.2,5,5,1
100,86,82,12.1,0,3,0
24,24,0,0.9,10,9,2
